,date,price
238,1994-01-21,5.185
239,1994-01-20,5.32
240,1994-01-19,5.3225
241,1994-01-18,5.3275
242,1994-01-17,5.3435
243,1994-01-14,5.2075
244,1994-01-13,5.056
245,1994-01-12,5.105
246,1994-01-11,5.0425
247,1994-01-10,4.9115
248,1994-01-07,5.11
249,1994-01-06,5.02
250,1994-01-05,5.2325
251,1994-01-04,5.2765
252,29-Dec-95,5.13
253,28-Dec-95,5.15
254,27-Dec-95,5.15
255,26-Dec-95,5.17
256,22-Dec-95,5.13
257,21-Dec-95,5.15
258,20-Dec-95,5.15
259,19-Dec-95,5.16
260,18-Dec-95,5.17
261,15-Dec-95,5.13
262,14-Dec-95,5.14
263,13-Dec-95,5.11
264,12-Dec-95,5.15
265,11-Dec-95,5.22
266,08-Dec-95,5.23
267,07-Dec-95,5.24
268,06-Dec-95,5.27
269,05-Dec-95,5.24
270,04-Dec-95,5.21
271,01-Dec-95,5.2
272,30-Nov-95,5.23
273,29-Nov-95,5.18
274,28-Nov-95,5.16
275,27-Nov-95,5.26
276,24-Nov-95,5.16
277,23-Nov-95,5.16
278,22-Nov-95,5.11
279,21-Nov-95,5.33
280,20-Nov-95,5.35
281,17-Nov-95,5.28
282,16-Nov-95,5.32
283,15-Nov-95,5.27
284,14-Nov-95,5.32
285,13-Nov-95,5.3
286,10-Nov-95,5.37
287,09-Nov-95,5.39
288,08-Nov-95,5.35
289,07-Nov-95,5.36
290,06-Nov-95,5.27
291,03-Nov-95,5.29
292,02-Nov-95,5.33
293,01-Nov-95,5.31
294,31-Oct-95,5.35
295,30-Oct-95,5.33
296,27-Oct-95,5.31
297,26-Oct-95,5.43
298,25-Oct-95,5.44
299,24-Oct-95,5.36
300,23-Oct-95,5.35
301,20-Oct-95,5.36
302,19-Oct-95,5.31
303,18-Oct-95,5.36
304,17-Oct-95,5.35
305,16-Oct-95,5.35
306,13-Oct-95,5.41
307,12-Oct-95,5.39
308,11-Oct-95,5.44
309,10-Oct-95,5.44
310,09-Oct-95,5.44
311,06-Oct-95,5.37
312,05-Oct-95,5.33
313,04-Oct-95,5.33
314,03-Oct-95,5.28
315,02-Oct-95,5.47
316,29-Sep-95,5.5
317,28-Sep-95,5.46
318,27-Sep-95,5.48
319,26-Sep-95,5.44
320,25-Sep-95,5.43
321,22-Sep-95,5.49
322,21-Sep-95,5.43
323,20-Sep-95,5.5
324,19-Sep-95,5.475
325,18-Sep-95,5.47
326,15-Sep-95,5.5
327,14-Sep-95,5.43
328,13-Sep-95,5.54
329,12-Sep-95,5.51
330,11-Sep-95,5.51
331,08-Sep-95,5.43
332,07-Sep-95,5.34
333,06-Sep-95,5.24
334,05-Sep-95,5.3
335,01-Sep-95,5.34
336,31-Aug-95,5.26
337,30-Aug-95,5.52
338,29-Aug-95,5.61
339,28-Aug-95,5.59
340,25-Aug-95,5.585
341,24-Aug-95,5.625
342,23-Aug-95,5.64
343,22-Aug-95,5.79
344,21-Aug-95,5.71
345,18-Aug-95,5.61
346,17-Aug-95,5.4
347,16-Aug-95,5.38
348,15-Aug-95,5.38
349,14-Aug-95,5.24
350,11-Aug-95,5.24
351,10-Aug-95,5.27
352,09-Aug-95,5.27
353,08-Aug-95,5.2
354,07-Aug-95,5.2
355,04-Aug-95,5.17
356,03-Aug-95,5.16
357,02-Aug-95,5.11
358,01-Aug-95,5.16
359,31-Jul-95,5.05
360,28-Jul-95,5.05
361,27-Jul-95,5.13
362,26-Jul-95,5.19
363,25-Jul-95,5.16
364,24-Jul-95,5.18
365,21-Jul-95,5.2
366,20-Jul-95,5.13
367,19-Jul-95,5.19
368,18-Jul-95,5.33
369,17-Jul-95,5.35
370,14-Jul-95,5.24
371,13-Jul-95,5.21
372,12-Jul-95,5.26
373,11-Jul-95,5.16
374,10-Jul-95,5.15
375,07-Jul-95,5.17
376,06-Jul-95,5.11
377,05-Jul-95,5.06
378,03-Jul-95,5.08
379,30-Jun-95,5.05
380,29-Jun-95,5.31
381,28-Jun-95,5.23
382,27-Jun-95,5.31
383,26-Jun-95,5.32
384,23-Jun-95,5.36
385,22-Jun-95,5.37
386,21-Jun-95,5.46
